./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.97 --threads=12 --top=10000 --time=20m
-16.3169	"/,/,/,/,/,/,/,/,/,/B"
-16.3116	"G/R,R,R,R,R,R,R,R,R,R"
-16.3007	"G,G,G,G,G,G,G,G,G,/"
-16.2993	"/,/,/,/,/,/,/,/,/,RR"
-16.278	"G/G/G/G/G/G/G/G/G/,G,G,G,G,G,G,G,G,G"
-16.2766	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.2748	"B/,/,/,/,/,/,/,/,/,/"
-16.2681	"G/G/G/G/G/G/G/G/G/R,G,G,G,G,G,G,G,G,"
-16.2589	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-16.2589	"G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-16.2387	",/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-16.2274	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/////////"
-16.2182	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-16.2182	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-16.1939	"G,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-16.1907	"GR,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-16.1727	"G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G//R"
-16.1727	"G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R"
-16.1707	"G,G,G,G,G,G,G,G,G,RRRRRRRRR"
-16.1484	"G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-16.1348	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R/R"
-16.1265	"G,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/R"
-16.1257	"B/R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.12	"R/,/,/,/,/,/,/,/,/,/"
-16.1083	"/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.0917	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R"
-16.0849	"G/G/G/G/G/G/G/G/G/,,,,,,,,,"
-16.068	"GR,RR,RR,RR,RR,RR,RR,RR,RR,R"
-16.0581	"GR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/R"
-16.0575	"G/G/G/G/G/G/G/G/G/G,R,R,R,R,R,R,R,R,R"
-16.0411	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R"
-16.0389	"G/G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-16.0303	"G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R,"
-16.0196	"//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-16.0196	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RG"
-16.0124	"G/,G/,G/,G/,G/,G/,G/,G/,R,"
-16.0109	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,"
-15.9737	"R,R,R,R,R,R,R,R,R,G/R/R/R/R/R/R/R/R/R"
-15.9652	"/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-15.9552	"G/G/G/G/G/G/G/G/G/R,G,G,G,G,G,G,G,G,G"
-15.9317	"/,R,R,R,R,R,R,R,R,R"
-15.928	"G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R"
-15.9219	"//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-15.919	"G,G,G,G,G,G,G,G,G,RRRRRRRRRR"
-15.9148	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-15.88	"G,/G,/G,/G,/G,/G,/G,/G,/G,/B"
-15.871	"G,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R"
-15.8663	"G,G,G,G,G,G,G,G,G,R/R/R/R/R/R/R/R/R/R"
-15.8644	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,B"
-15.8378	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G"
-15.8324	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,//R"
-15.7674	"G/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/R"
-15.7548	"G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-15.7234	"G/G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-15.7188	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,R"
-15.7165	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/RRRRRRRRR"
-15.7146	"G//R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-15.7076	"/////////,R,R,R,R,R,R,R,R,R"
-15.7056	"G/G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-15.662	"G/G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-15.6518	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-15.6492	"G/R,//R,//R,//R,//R,//R,//R,//R,//R,"
-15.64	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R/R/R/R/R/R/R/R/R/"
-15.5897	"G//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR,//RR"
-15.5897	"G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//RR"
-15.5791	"GR,GR,GR,GR,GR,GR,GR,GR,GR,"
-15.5672	"G,GR,GR,GR,GR,GR,GR,GR,GR,GR"
-15.5417	"B,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-15.537	"G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/"
-15.5347	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-15.5287	"G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/G,/R/"
-15.52	"R,/,/,/,/,/,/,/,/,/"
-15.5178	"/,/,/,/,/,/,/,/,/,/R/R/R/R/R/R/R/R/R"
-15.509	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,"
-15.4964	"G/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RRG/,RR"
-15.4925	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-15.4809	"G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G//R,G"
-15.4676	"G,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,/RR"
-15.4616	"G/,R/,R/,R/,R/,R/,R/,R/,R/,"
-15.4273	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,"
-15.3647	"B,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-15.3636	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R/R/R/R/R/R/R/R"
-15.3621	"G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//R"
-15.3524	"G/R,G/R,G/R,G/R,/R,G/R,/R,G/R,/R,"
-15.3514	",G,G,G,G,G,G,G,G,R"
-15.3409	"G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,B"
-15.3401	",G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-15.3381	"/R,/R,/R,/R,/R,/R,/R,/R,/R,R"
-15.3325	"G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,"
-15.3297	"R,R,R,R,R,R,R,R,R,"
-15.3073	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-15.3061	"G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R"
-15.3025	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-15.2911	"G/,/,/,/,/,/,/,/,/,/R"
-15.2692	"G/G/G/G/G/G/G/G/G/R,,,,,,,,,"
-15.2635	",/,/,/,/,/,/,/,/,/RRRRRRRRR"
-15.2633	",/R,/R,/R,/R,/R,/R,/R,/R,/RR"
-15.2464	",R/,R/,R/,R/,R/,R/,R/,R/,R/"
-15.2346	"G,/,/,/,/,/,/,/,/,/R"
-15.2292	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G//R,G"
-15.2144	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.2084	"G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-15.2066	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,RRRRRRRR"
-15.1979	",G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-15.193	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,"
-15.1755	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-15.1642	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R"
-15.1437	"G/,G/,G/,G/,G/,G/,G/,G/,G/,RRRRRRRRRR"
-15.1367	"G/G/G/G/G/G/G/G/G/,/,/,/,/,/,/,/,/,/"
-15.1059	",/R,/R,/R,/R,/R,/R,/R,/R,"
-15.1024	"G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,B"
-15.0783	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRR"
-15.0771	"G,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/R"
-15.0756	"G,RG,RG,RG,RG,RG,RG,RG,RG,RR"
-15.0625	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-15.0527	"B,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-15.0426	"//R,//R,//R,//R,//R,//R,//R,//R,//R,"
-15.0022	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/"
-14.9917	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R/R"
-14.9908	"G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.9879	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,RRRRRRRRR"
-14.987	",G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-14.9567	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,R"
-14.9463	"R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-14.9395	",/,/,/,/,/,/,/,/,"
-14.9314	"G//,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-14.9273	",G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-14.9214	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R"
-14.8951	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-14.8933	"G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G"
-14.8726	"G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-14.8519	"G,G,G,G,G,G,G,G,G,G/R/R/R/R/R/R/R/R/R"
-14.8492	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-14.8484	"G,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-14.8318	"G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-14.828	"G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,R"
-14.8184	"R,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-14.8153	"G,G,G,G,G,G,G,G,G,B"
-14.8137	"B,R,R,R,R,R,R,R,R,R"
-14.8032	"G,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RRG,/RR"
-14.7753	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,"
-14.7709	"G/,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-14.7498	"G,/,/,/,/,/,/,/,/,"
-14.7347	"/,//,//,//,//,//,//,//,//,/R"
-14.7276	"G/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,R"
-14.7213	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-14.7197	"/,/,/,/,/,/,/,/,/,B"
-14.7185	"GR,GR,GR,GR,GR,GR,GR,GR,GR,R"
-14.7168	"G,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-14.709	"R,/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-14.6968	"R,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-14.6679	"/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.6667	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R/R/R/R/R/R/R/R/R/R"
-14.6074	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-14.6014	"G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/G/,R/"
-14.6008	"G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR"
-14.5985	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,B"
-14.5696	"G//,G//,G//,G//,G//,G//,G//,G//,G//,R"
-14.5604	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,B"
-14.5571	"G,RR,RR,RR,RR,RR,RR,RR,RR,R"
-14.5518	"G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G"
-14.531	"G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/G/,/R/R"
-14.5234	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R,G"
-14.5205	"/,RR/,RR/,RR/,RR/,RR/,RR/,RR/,RR/,RR"
-14.5185	"G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-14.4893	"G,RR,RR,RR,RR,RR,RR,RR,RR,"
-14.4759	"/,/,/,/,/,/,/,/,/,/"
-14.4748	"G,G,G,G,G,G,G,G,G,/R"
-14.3873	"G,R/,R/,R/,R/,R/,R/,R/,R/,R"
-14.3847	"G/G/G/G/G/G/G/G/G/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.3686	"G,/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RG,G/RR"
-14.3133	"G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,B"
-14.3121	"G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,"
-14.2936	"G/,G/,G/,G/,G/,G/,G/,G/,G/,RR"
-14.2898	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/RR"
-14.2855	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-14.2688	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-14.2649	"G/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-14.2643	"B,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.2196	"B/,/,/,/,/,/,/,/,/,"
-14.2196	",/,/,/,/,/,/,/,/,/B"
-14.218	",RR,RR,RR,RR,RR,RR,RR,RR,RR"
-14.2175	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G"
-14.2046	"G,R,,R,,R,,R,,R"
-14.2037	"G/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RG/,/RB"
-14.1989	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R"
-14.1869	"G/R,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-14.1363	"R/,/,/,/,/,/,/,/,/,"
-14.1363	",/,/,/,/,/,/,/,/,/G"
-14.1262	"B/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-14.1246	"G,/G,/G,/G,/G,/G,/G,/G,/G,/"
-14.1126	"/,/,/,/,/,/,/,/,/,G"
-14.112	"G/,G/,G/,G/,G/,G/,G/,G/,G/,RRRRRRRRR"
-14.0777	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-14.071	"G//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,R"
-14.0662	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G"
-14.0538	"G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,R"
-14.0475	"G/,R,R,R,R,R,R,R,R,R"
-14.0217	"G,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-14.0216	"G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-14.0036	"G,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-13.9624	"G,R,R,R,R,R,R,R,R,"
-13.9474	"G/,//,//,//,//,//,//,//,//,/"
-13.9469	"G//R,//R,//R,//R,//R,//R,//R,//R,//R,"
-13.9446	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
