./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.97 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=17416 by user binli at Thu Aug  1 04:39:22 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/17416/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.8471	"//R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-17.8375	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/"
-17.8332	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-17.7837	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/RRRRRRRRRR"
-17.7717	"G/G/G/G/G/G/G/G/G/G/R,G,G,G,G,G,G,G,G,G"
-17.743	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R/R/R/R/R/R/R/R/R/"
-17.7419	"/,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR"
-17.6746	"G/G/G/G/G/G/G/G/G/G/R,,,,,,,,,"
-17.6626	"G//R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.6442	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRRR"
-17.5937	"G/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-17.5816	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,R"
-17.5126	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/G"
-17.5024	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G//R"
-17.4994	"G/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-17.4862	"G/G/,G/,G/,G/,G/,G/,G/,G/,G/,R"
-17.4355	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/R"
-17.4201	"G/R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-17.3975	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.3944	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.3915	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/RR"
-17.3685	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-17.297	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B"
-17.1951	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-17.1504	",R,R,R,R,R,R,R,R,G/R/R/R/R/R/R/R/R/R/R"
-17.144	"G/R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.144	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G/R"
-17.1425	"G/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-17.1344	"G/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-17.1291	"G,/,/,/,/,/,/,/,/,R"
-17.128	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R"
-17.122	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/"
-17.1077	",/,/,/,/,/,/,/,/,G"
-17.1072	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/R/R/R/R/R/R/R/R/R/R"
-17.0898	"R/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.0852	"G,/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-17.0834	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-17.0823	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/RR"
-17.0688	"G//R,/R,/R,/R,/R,/R,/R,/R,/R,"
-17.068	"G/,/,/,/,/,/,/,/,/,G"
-17.0647	"B/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.0611	"R,R,R,R,R,R,R,R,R,G"
-17.0518	"G,G,G,G,G,G,G,G,G,/////////"
-17.049	"/,/,/,/,/,/,/,/,/,/RR"
-17.0435	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RRR"
-17.0301	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-17.009	"G,RG,RG,RG,RG,RG,RG,RG,RG,R"
-16.9963	"G,G,G,G,G,G,G,G,G,G/R/R/R/R/R/R/R/R/R/R"
-16.9662	"/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-16.9467	"R,R,R,R,R,R,R,R,R,/R/R/R/R/R/R/R/R/R"
-16.9299	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,RR"
-16.9191	"G,G,G,G,G,R,R,R,R,"
-16.9191	"G,G,G,G,R,G,R,R,R,"
-16.9191	"G,G,G,G,R,R,G,R,R,"
-16.9191	"G,G,G,G,R,R,R,G,R,"
-16.9191	"G,G,G,R,G,G,R,R,R,"
-16.9191	"G,G,G,R,G,R,G,R,R,"
-16.9191	"G,G,G,R,G,R,R,G,R,"
-16.9191	"G,G,G,R,R,G,G,R,R,"
-16.9191	"G,G,G,R,R,G,R,G,R,"
-16.9191	"G,G,R,G,G,G,R,R,R,"
-16.9191	"G,G,R,G,G,R,G,R,R,"
-16.9191	"G,G,R,G,G,R,R,G,R,"
-16.9191	"G,G,R,G,R,G,G,R,R,"
-16.889	"G,/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,R"
-16.8858	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/B"
-16.8791	"B/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.8731	",,,,,,,,,/R/R/R/R/R/R/R/R/R"
-16.8521	"/,/,/,/,/,/,/,/,/,/G"
-16.8408	"G,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,"
-16.8405	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G//R"
-16.8166	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.8129	"R/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.8129	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-16.8129	"R,/R,/R,/R,/R,/R,/R,/R,/R,R"
-16.8118	"R/R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.782	"/,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.7386	"G/R,G/R,G/R,G/R,G/R,/R,/R,/R,/R,"
-16.7167	"G,/G,/G,/G,/G,/G,/G,/G,/G,/RR"
-16.6668	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G//R"
-16.6636	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-16.6636	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-16.6579	",R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.5802	"G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-16.5688	"G,RR,RR,RR,RR,RR,RR,RR,R,R"
-16.5671	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-16.5611	"G,/G,/G,/G,/G,/G,/G,/G,/G,R"
-16.5602	"G,/R,/R,/R,/R,/R,/R,/R,/R,/"
-16.5565	"GR,RR,RR,RR,RR,RR,RR,RR,R,R"
-16.5319	"G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-16.506	"G,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-16.5011	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R"
-16.4832	",G/,G/,G/,G/,G/,G/,G/,G/,R"
-16.4705	"/,/R,/R,/R,/R,/R,/R,/R,/R,G"
-16.448	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/R/R/R/R/R/R/R/R"
-16.4329	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RB"
-16.4318	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-16.4194	"G/,/R,/R,/R,/R,/R,/R,/R,/R,G"
-16.4078	"B,/,/,/,/,/,/,/,/,/"
-16.4064	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/G"
-16.4048	"G/,G/,G/,G/,G/,G/,G/,G/,,R"
-16.3431	"G/,/R,/R,/R,/R,/R,/R,/R,/R,B"
-16.3414	"G//,G//,G//,G//,G//,G//,G//,G//,G//,G//R"
