./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.75 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16817 by user binli at Thu Aug  1 02:59:01 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16817/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6289	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-17.0444	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-17.0323	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-17.013	"R,B/,B/,B/,B/,B/,B/,B/,B/,B"
-17.0088	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-16.9842	"B,B,GB,GB,GB,GB,GB,GB,GB,B"
-16.9676	"G/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.9655	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-16.9036	"B,B,RB,RB,RB,RB,RB,RB,RB,R"
-16.9032	"B,GB,GB,GB,GB,GB,GB,GB,G,G"
-16.8634	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.8543	",B,B,B,B,B,B,B,B,GB"
-16.8475	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
-16.8409	"R,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.8036	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-16.7583	"B,B,B,B,B,B,B,B,B,B////////"
-16.7493	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-16.735	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.6946	"B,B,RB,RB,RB,RB,RB,RB,RB,B"
-16.6946	"B,B,RB,RB,RB,RB,RB,RB,RB,G"
