./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.82 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=17985 by user binli at Thu Aug  1 06:19:28 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/17985/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.9323	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-17.9099	"G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-17.4711	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-17.2762	"G,RR,RR,RR,RR,RR,RR,RR,R,"
-17.2681	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.2578	"G/G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.2455	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/"
-17.2306	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/B"
-17.2219	"B/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.2075	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.2075	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
