./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.85 --threads=12 --top=10000 --time=20m
-16.3331	"//B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B"
-16.3239	"//B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G"
-16.3031	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//"
-16.2948	"R,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.2633	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.2631	"B,B,B,B,B,B,B,B,B,G////////"
-16.2558	"/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-16.2558	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/"
-16.2554	"/RB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.2238	",R,B,B,B,B,B,B,B,B"
-16.2171	"G,RB,RB,RB,RB,RB,RB,RB,RB,B"
-16.2144	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,"
-16.203	"R/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-16.1952	",R,R,R,R,R,R,R,R,B"
-16.1878	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/B,G"
-16.1792	"R,R,R,R,R,R,R,R,R,B/"
-16.1755	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.1678	"/B,/B,/B,/B,/B,/B,/B,/B,/B,GB"
-16.1612	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.1509	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-16.1491	"/B,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.1396	",B,B,B,B,B,B,B,B,B/G"
-16.1396	",B,B,B,B,B,B,B,B,B/R"
-16.1312	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/B"
-16.1276	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,G"
-16.1208	"/B,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.1204	"/R,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.1161	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-16.1161	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,B"
-16.1021	"R/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.0929	"/G/G/G/G/G/G/G/G/R,B,B,B,B,B,B,B,B,B"
-16.0902	"/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,G"
-16.0871	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-16.0808	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.0638	"B,/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B"
-16.0636	"/R/R/R/R/R/R/R/R/B,B,B,B,B,B,B,B,B,B"
-16.0463	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,R"
-16.0304	"/R,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.0193	"R,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,/B"
-16.0191	"B,B,B,B,B,B,B,B,B,R/"
-16.0038	"R,B/,B/,B/,B/,B/,B/,B/,B/,B"
-15.9424	"RB,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-15.9353	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-15.9302	"/,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-15.9247	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-15.8895	",B,B,B,B,B,B,B,B,G/B"
-15.8863	"/G,B,B,B,B,B,B,B,B,B"
-15.8863	"B,B,B,B,B,B,B,B,B,/B"
-15.8863	"R/,B,B,B,B,B,B,B,B,B"
-15.8649	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-15.8578	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-15.8539	"R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B/"
-15.843	"B,BB,BB,BB,BB,BB,BB,BB,BB,B"
-15.8416	"B,B,B,B,B,B,B,B,B,G/R/R/R/R/R/R/R/R/"
-15.8336	"/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,B"
-15.8336	"/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-15.8164	"R,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/"
-15.8119	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G"
-15.8027	",B/,B/,B/,B/,B/,B/,B/,B/,B/B"
-15.7886	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-15.7847	"RB,/B,/B,/B,/B,/B,/B,/B,/B,/"
-15.7706	"RB,BB,BB,BB,BB,BB,BB,BB,B,B"
-15.7558	"/R,/R,/R,/R,/R,/R,/R,/R,/R,R"
-15.7486	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-15.7422	",B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-15.7257	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B/B"
-15.7257	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B/G"
-15.7257	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B/R"
-15.7257	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/R"
-15.7257	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/G"
-15.7197	"/R,/R,/R,/R,/R,/R,/R,/R,/R,G/"
-15.7096	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/////////"
-15.6969	"/B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B"
-15.6847	"////////,B,B,B,B,B,B,B,B,B"
-15.6817	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-15.6664	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-15.6664	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-15.6595	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/G"
-15.6557	"RB,RB,RB,RB,RB,RB,RB,RB,RB,B/"
-15.6528	"/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.6489	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,"
-15.6489	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/,B"
-15.6469	"////////B,B,B,B,B,B,B,B,B,B"
-15.643	"B,B,GB,GB,GB,GB,GB,GB,GB,B"
