./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.77 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18477 by user binli at Thu Aug  1 06:39:28 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/18477/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-18.0674	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRR"
-17.4166	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-17.3409	"G/,G/,G/,G/,G/,G/,G/,G/,G/,/"
-17.3394	"/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.3383	"G/,/,/,/,/,/,/,/,/,/R"
-17.2967	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.2209	"/,/,/,/,/,/,/,/,/,/B"
-17.2058	"G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-17.2058	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-17.1878	"B/,/,/,/,/,/,/,/,/,/"
-17.1566	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-17.1566	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-17.1126	"G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-17.109	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.9749	"/,/,/,/,/,/,/,/,/,/G"
-16.9459	"R/,/,/,/,/,/,/,/,/,/"
-16.9097	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-16.7468	"/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.7098	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,"
-16.7016	",R,R,R,R,R,R,R,R,B"
-16.6905	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.6737	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G"
-16.5735	"G,G,G,G,G,G,G,G,G,/"
-16.5571	",G/,G/,G/,G/,G/,G/,G/,G/,R"
-16.5366	"R,G,G,G,G,G,G,G,G,"
-16.4881	"B,R,R,R,R,R,R,R,R,"
