./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=8.0 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=15164 by user binli at Wed Jul 31 23:38:05 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/15164/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-27.9056	"/RB,GB//RB,GB//RB,GB//RB,GB/,/RB,GB//RB,GB//RB,GB//RB,GB//R"
-27.9056	"/RB,GB//RB,GB/,/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//R"
-27.9056	"/RB,GB/,/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//R"
-27.9056	"/RB,GB//RB,GB//RB,GB/,/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//R"
-27.9056	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/,/RB,GB//RB,GB//RB,GB//R"
-27.9056	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/,/R"
-27.9056	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/,/RB,GB//R"
-27.9056	"/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/,/RB,GB//RB,GB//R"
-27.05	"/RB,GB//RB,GB/,/RB,GB//RB,GB/,/RB,GB/,G/RB,GB//"
-27.05	"/RB,GB//RB,GB/,/RB,GB//RB,GB//RB,GB/,/RB,GB/,G/"
-27.05	"/RB,GB//RB,GB//RB,GB/,G/RB,GB/,G/RB,GB/,G/RB,GB//"
-27.05	"/RB,GB/,G/RB,GB/,G/RB,GB//RB,GB/,G/RB,GB//RB,GB//"
-27.05	"/RB,GB/,/RB,GB//RB,GB/,/RB,GB/,G/RB,GB//RB,GB//"
-27.05	"/RB,GB//RB,GB//RB,GB/,/RB,GB/,G/RB,GB/,G/RB,GB//"
-27.05	"/RB,GB/,/RB,GB//RB,GB/,G/RB,GB//RB,GB//RB,GB/,G/"
-27.05	"/RB,GB//RB,GB/,G/RB,GB//RB,GB/,G/RB,GB//RB,GB/,G/"
-27.05	"/RB,GB//RB,GB/,G/RB,GB//RB,GB/,G/RB,GB/,/RB,GB//"
-27.05	"/RB,GB//RB,GB/,G/RB,GB/,/RB,GB//RB,GB/,/RB,GB//"
-27.05	"/RB,GB/,/RB,GB//RB,GB//RB,GB//RB,GB/,/RB,GB/,G/"
-27.0171	"/RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB//RB,GB//"
-27.0171	"/RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB//"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//"
-27.0171	"/RB,GB//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB//RB,GB/,/"
-27.0171	"/RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB//RB,GB/,/RB,GB//RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//RB,GB//RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/,/RB,GB//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB//RB,GB//RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB//RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/R//RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB//RB,GB//RB,GB/,/RB,GB/R//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//RB,GB//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB//RB,GB/R//RB,GB//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB//RB,GB//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//RB,GB//RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB//RB,GB/R//RB,GB//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB//RB,GB/R//RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB//RB,GB//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB//RB,GB/,/RB,GB/,/RB,GB/R//RB,GB/R//"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB//RB,GB/,/RB,GB/R//RB,GB//"
-27.0171	"/RB,GB//RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB//RB,GB/,/RB,GB/R//RB,GB/,/RB,GB//"
-27.0171	"/RB,GB/,/RB,GB//RB,GB//RB,GB/,/RB,GB/,/RB,GB/R//"
-27.0171	"/RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/RB,GB/R//RB,GB//"
-27.0171	"/RB,GB//RB,GB/R//RB,GB//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/R//RB,GB/R//RB,GB/R//RB,GB/,/RB,GB/,/RB,GB/,/"
-27.0171	"/RB,GB/,/RB,GB/,/RB,GB//RB,GB/,/RB,GB//RB,GB/R//"
-26.3577	"/RB,GB/,/RB,GB/,/RB,GB/,/RB,GB//RB,GB/,G/G"
