./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.77 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16640 by user binli at Thu Aug  1 02:39:00 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16640/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6513	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-17.6333	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-17.6322	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-17.5089	"//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B/"
-17.3224	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.0192	"B/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.9878	"B,/B,/B,/B,/B,/B,/B,/B,/B,R"
-16.9645	"B,GB,GB,GB,GB,GB,GB,GB,GB,GB/"
-16.9616	"RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/"
-16.9053	"B,B/,B/,B/,B/,B/,B/,B/,B/,B"
-16.9053	"R,B/,B/,B/,B/,B/,B/,B/,B/,B"
-16.894	",/B,/B,/B,/B,/B,/B,/B,/B,"
-16.8604	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-16.8594	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-16.8313	"G/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.7993	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-16.7608	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/R"
-16.7072	",B,B,B,B,B,B,B,B,GB"
-16.6886	"R,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.651	"/RB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.5563	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
-16.5419	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.5195	"B,B,RB,RB,RB,RB,RB,RB,RB,B"
-16.4977	"/,/,/,/,/,/,/,/,/,/"
-16.4683	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.4683	"R/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.3466	"R,R,R,R,R,R,R,R,R,G/"
-16.3408	"R,R,R,R,R,R,R,R,R,B/"
-16.3365	"/B,GB,GB,GB,GB,GB,GB,GB,GB,G"
-16.3295	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.3082	"R/R,B,B,B,B,B,B,B,B,B"
-16.3029	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-16.3029	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-16.3006	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.3006	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.2602	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-16.2363	"R/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-16.2221	",RB,RB,RB,RB,RB,RB,RB,RB,G"
-16.2196	"B,B,B,B,B,B,B,B,B,R/"
-16.2122	"B,B,B,B,B,B,B,B,B,GBBBBBBBBB"
-16.1874	"B,B,B,B,B,B,B,B,B,////////"
-16.1519	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//"
-16.1515	",B,B,B,B,B,B,B,B,G/B"
-16.1476	"B/B,B,B,B,B,B,B,B,B,B"
-16.1304	"BB,GB,GB,GB,GB,GB,GB,GB,G,G"
-16.1226	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-16.1189	"B,B,GB,GB,GB,GB,GB,GB,GB,B"
-16.1147	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
