./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.95 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=17542 by user binli at Thu Aug  1 04:59:24 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/17542/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.8663	"//R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-17.8387	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/RRRRRRRRRR"
-17.8213	",R,R,R,R,R,R,R,R,G/R/R/R/R/R/R/R/R/R/R"
-17.821	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R/R/R/R/R/R/R/R/"
-17.8098	"/,/,/,/,/,/,/,/,/,/RRRRRRRRRR"
-17.8024	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R/R/R/R/R/R/R/R/R/"
-17.796	"/,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR"
-17.7687	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-17.7683	"G/,/R,/R,/R,/R,/R,/R,/R,/R,/RR"
-17.7457	"G/G/G/G/G/G/G/G/G/G/R,G,G,G,G,G,G,G,G,G"
-17.7395	"B/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.734	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRRR"
-17.6319	"G/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-17.6235	"G/G/G/G/G/G/G/G/G/G/R,,,,,,,,,"
-17.579	"G/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-17.5583	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,R"
-17.5057	"//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-17.4786	"G/R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-17.4784	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/G"
-17.4419	"G/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/"
