./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.72 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=15087 by user binli at Wed Jul 31 23:18:05 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/15087/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6106	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-17.6106	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-17.6001	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.59	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-17.59	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-17.5735	"G/,/,/,/,/,/,/,/,/,/"
-17.5463	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-17.5446	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-17.0289	"B,G,G,G,G,G,G,G,G,"
-17.0271	"/,G,G,G,G,G,G,G,G,G"
-17.0271	"R,R,R,R,R,R,R,R,R,/"
-16.9966	"G,,,,,,,,,"
-16.9966	",,,,,,,,,R"
-16.9431	",/G,/G,/G,/G,/G,/G,/G,/G,"
-16.9102	"/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.8109	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.6844	"G,R,R,R,R,R,R,R,R,"
-16.5566	",G,G,G,G,G,G,G,G,R"
-16.3245	"R,R,R,R,R,R,R,R,R,/////////"
-16.3086	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R"
-16.2989	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.2835	",R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-16.2828	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,"
-16.2611	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-16.2207	",/,/,/,/,/,/,/,/,G"
-16.2062	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-16.2062	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-16.1992	",,,,,,,,,/G/G/G/G/G/G/G/G/G"
-16.192	"R,/,/,/,/,/,/,/,/,"
-16.1897	"R,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.1385	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-16.1339	"R,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-16.1337	",,,,,,,,,"
-16.1038	"/,/,/,/,/,/,/,/,/,B"
-16.056	"/,/,/,/,/,/,/,/,/,/"
-16.0391	"/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.0391	"G,/G,/G,/G,/G,/G,/G,/G,/G,/"
-16.0245	"/,/,/,/,/,/,/,/,/,/G"
-15.9931	"R,R,R,R,R,R,R,R,R,/G"
-15.9929	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-15.9902	"G,/,/,/,/,/,/,/,/,/"
-15.9883	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-15.9693	"G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.9657	"R/,G,G,G,G,G,G,G,G,G"
-15.9574	",/,/,/,/,/,/,/,/,"
-15.9273	"R/,R/,R/,R/,R/,R/,R/,R/,R/,/G"
-15.9252	"R/R/R/R/R/R/R/R/R/,,,,,,,,,"
-15.8907	",R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-15.8865	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-15.865	"R/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.8595	"B/,/,/,/,/,/,/,/,/,"
