./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.85 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=17841 by user binli at Thu Aug  1 05:59:27 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/17841/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.8604	"GR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-17.826	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,R"
-17.8215	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-17.4312	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRR"
-17.1507	"G,/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,R"
-17.1478	"G,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-17.1429	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/"
-17.137	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-17.1119	"G,RR,RR,RR,RR,RR,RR,RR,R,"
-17.1009	"G/,G/,G/,G/,G/,G/,G/,G/,G/,RRRRRRRR"
-17.081	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/B"
-17.0728	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.0727	"B/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.0571	"G/G/G/G/G/G/G/G/G/G/R,,,,,,,,,"
-17.0564	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G//R"
