./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.75 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19194 by user binli at Thu Aug  1 06:59:29 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/19194/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-18.1136	"G/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-17.444	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.3912	"/,/,/,/,/,/,/,/,/,/B"
-17.3863	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-17.3863	"G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-17.3591	"B/,/,/,/,/,/,/,/,/,/"
-17.3362	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-17.3362	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-17.2582	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-17.2308	"G/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RR"
-17.2141	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-17.1353	"/,/,/,/,/,/,/,/,/,/G"
-17.1073	"R/,/,/,/,/,/,/,/,/,/"
-16.9074	"/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.8515	"G/,/,/,/,/,/,/,/,/,R"
-16.8468	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.7259	",R,R,R,R,R,R,R,R,B"
-16.7173	",G/,G/,G/,G/,G/,G/,G/,G/,R"
-16.6852	"G,G,G,G,G,G,G,G,G,/"
-16.5954	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.5903	"GR,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-16.5804	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.552	"G,/G,/G,/G,/G,/G,/G,/G,/G,R"
-16.5491	"R,G,G,G,G,G,G,G,G,"
-16.524	"B,R,R,R,R,R,R,R,R,"
-16.4819	",R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.4027	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.39	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.3888	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R/R"
-16.3764	"/,R,R,R,R,R,R,R,R,R"
-16.3363	"G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-16.2374	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R"
-16.2069	"G,G,G,G,G,G,G,G,G,RR"
-16.1246	"GR,GR,GR,GR,GR,GR,GR,GR,GR,R"
-16.1095	"G/G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-16.1054	"G,G,RG,RG,RG,RG,RG,RG,RG,RR"
-16.0885	",/R,/R,/R,/R,/R,/R,/R,/R,"
-16.0608	"G/,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.0577	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-16.0435	",G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-16.0396	"/R,/R,/R,/R,/R,/R,/R,/R,/R,R"
-15.9808	"R,R,R,R,R,R,R,R,R,B"
-15.975	"G,G,G,G,G,G,G,G,G,/////////"
-15.9461	"G,G,G,G,G,G,G,G,G,RRRRRRRRR"
-15.9417	",R,R,R,R,R,R,R,R,G"
-15.9287	"G,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-15.8821	"GR,RR,RR,RR,RR,RR,RR,RR,RR,R"
-15.8656	"G/G/G/G/G/G/G/G/G/R,,,,,,,,,"
