./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.72 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19378 by user binli at Thu Aug  1 07:19:30 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/19378/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6335	"B/,/,/,/,/,/,/,/,/,/"
-17.6258	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-17.6258	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-17.5391	"GR,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-17.5029	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-17.3929	"/,/,/,/,/,/,/,/,/,/G"
-17.3667	"R/,/,/,/,/,/,/,/,/,/"
-17.1668	"/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.0995	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-16.8721	"G,G,G,G,G,G,G,G,G,/"
-16.8398	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.7849	"G,/G,/G,/G,/G,/G,/G,/G,/G,R"
-16.7816	",R,R,R,R,R,R,R,R,B"
-16.7804	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.69	",R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.6544	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R/R"
-16.6444	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.643	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.6247	"G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-16.5966	"B,R,R,R,R,R,R,R,R,"
-16.5884	"R,G,G,G,G,G,G,G,G,"
-16.5725	"/,R,R,R,R,R,R,R,R,R"
-16.5592	",G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-16.4891	"G/,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.3921	"G/G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-16.3538	",/R,/R,/R,/R,/R,/R,/R,/R,"
-16.2791	"G/,/R,/R,/R,/R,/R,/R,/R,/R,R"
-16.2673	"/R,/R,/R,/R,/R,/R,/R,/R,/R,R"
-16.2181	",,,,,,,,,"
-16.2116	"G,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
