./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.87 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16052 by user binli at Thu Aug  1 01:38:56 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16052/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.4528	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-17.4322	"/,/,/,/,/,/,/,/,/,/"
-17.3493	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RG"
-17.3398	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/B/"
-17.2878	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-17.2735	"//B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G/B,G/G"
-17.206	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB"
-17.1869	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB"
-17.1705	"G/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-17.1456	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-17.1027	"R/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-17.0488	"B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-16.9388	"/R,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-16.9239	"B/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.9229	"B,B,B,B,B,B,B,B,B,/R/R/R/R/R/R/R/R/R"
-16.9137	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.9137	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.9046	"R,R,R,R,R,R,R,R,R,G/"
-16.8999	"R,R,R,R,R,R,R,R,R,B/"
-16.8991	"/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-16.8976	"/RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//"
-16.8929	"B,/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-16.8913	"/B/,/B/,/B/,/B/,/B/,/B/,/B/,/B/,/B/,/B/"
-16.8798	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-16.844	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.839	"G,GB,GB,GB,GB,GB,GB,GB,GB,"
-16.8373	"/R/R/R/R/R/R/R/B,B,B,B,B,B,B,B,B,B"
-16.8359	",B,B,B,B,B,B,B,B,B/G"
-16.8313	"R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB/"
-16.8053	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/B"
-16.805	"R,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-16.8038	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/R"
-16.7974	"/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-16.7974	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/"
-16.7936	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.7893	"/R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB//R,GB"
-16.7815	"/G/G/G/G/G/G/G/G/R,B,B,B,B,B,B,B,B,B"
-16.7762	"/,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.7704	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.7672	"/B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB"
-16.7388	"//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB"
-16.7326	"B,B,B,B,B,B,B,B,B,G/G/G/G/G/G/G/G/G/"
-16.7221	"/R,/R,/R,/R,/R,/R,/R,/R,/R,B/"
-16.7122	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,/B"
-16.7122	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,R"
-16.6945	"B,/B,/B,/B,/B,/B,/B,/B,/B,R"
-16.6441	"G,GB,GB,GB,GB,GB,GB,GB,GB,B"
-16.5955	"/G,B,B,B,B,B,B,B,B,B"
-16.5955	"B,B,B,B,B,B,B,B,B,/B"
-16.589	"//B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B"
-16.589	"/R/,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/B"
-16.5639	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//"
-16.5516	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.5248	"RB,BB,BB,BB,BB,BB,BB,BB,B,"
-16.5239	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,G"
-16.5088	"/R,G,G,G,G,G,G,G,G,G"
-16.4914	"/B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//"
-16.4241	",B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-16.3989	"B,B,B,B,B,B,B,B,B,B////////"
-16.3988	"////////,B,B,B,B,B,B,B,B,B"
-16.3468	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-16.3413	"/,/B,/B,/B,/B,/B,/B,/B,/B,B"
-16.3282	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B"
-16.2513	",,B,B,B,B,B,B,B,B"
-16.2459	"/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,B"
-16.2459	"/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,G"
-16.2451	"G,G,G,G,G,G,G,G,G,G"
-16.2451	"G,G,G,G,G,G,G,G,G,B"
-16.2425	",B/,B/,B/,B/,B/,B/,B/,B/,B/B"
-16.2316	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,"
-16.2285	"B,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/"
-16.2206	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.2013	",RB,RB,RB,RB,RB,RB,RB,RB,R"
-16.1959	"RB,RB,RB,RB,RB,RB,RB,RB,RB,G/"
-16.1959	"RB,RB,RB,RB,RB,RB,RB,RB,RB,B/"
-16.1955	"G,RB,RB,RB,RB,RB,RB,RB,RB,B"
-16.1903	"/,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-16.1747	"/R,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.1605	"B,/B/,/B/,/B/,/B/,/B/,/B/,/B/,/B/,/B/"
-16.1568	"RB,RB,RB,RB,RB,RB,RB,RB,RB,/"
-16.1491	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,B"
-16.1428	",B,B,B,B,B,B,B,B,B/R"
-16.1383	"RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B//RB,B/"
-16.1327	"R/R,B,B,B,B,B,B,B,B,B"
-16.1224	"/B,GB,GB,GB,GB,GB,GB,GB,GB,G"
-16.1145	",/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-16.1137	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-16.1119	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,B"
-16.0956	"RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G//RB,G/"
-16.0921	",B,B,B,B,B,B,B,B,"
-16.0883	"B,B,B,B,B,B,B,B,B,////////"
-16.0773	"R/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.074	"B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB//B,GB/"
-16.0664	"R,,B,B,B,B,B,B,B,B"
-16.065	"B,GB,GB,GB,GB,GB,GB,GB,GB,R"
-16.0379	"R,G,G,G,G,G,G,G,G,"
-16.0379	"B,G,G,G,G,G,G,G,G,"
-16.0371	"B,B,B,B,B,B,B,B,B,R/"
-16.0251	"B,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.0204	"B,B/,B/,B/,B/,B/,B/,B/,B/,B"
-16.0137	"/B,/B,/B,/B,/B,/B,/B,/B,/B,GB"
-16.0054	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/G"
-16.0054	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B/G"
-16.0015	"B/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-16.0001	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.0001	"GB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-15.9963	"/B,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-15.9882	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-15.9865	"B,B,B,B,B,B,B,B,B,/"
-15.9857	"B,B,RB,RB,RB,RB,RB,RB,RB,G"
-15.9677	"B/B,B,B,B,B,B,B,B,B,B"
-15.9414	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-15.9303	"RB,RB,RB,RB,RB,RB,RB,RB,RB,RB"
-15.9276	"B/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-15.9239	",/B,/B,/B,/B,/B,/B,/B,/B,"
-15.9162	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-15.9162	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-15.9114	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-15.9114	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-15.9023	"R/,B,B,B,B,B,B,B,B,B"
