./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.82 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=14772 by user binli at Wed Jul 31 22:18:03 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/14772/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.3415	"/,/,/,/,/,/,/,/,/,/B"
-17.3369	"R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.2137	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-17.2021	"B/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.2021	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/B"
-17.1656	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-17.1281	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.0982	"G/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.0982	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-17.0954	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-17.0867	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-17.0667	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.0611	"/,/,/,/,/,/,/,/,/,/R"
-17.0258	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-17.0128	"B/,/,/,/,/,/,/,/,/,/"
-16.9974	"R/,/,/,/,/,/,/,/,/,/G"
-16.9581	"R//G,//G,//G,//G,//G,//G,//G,//G,//G,//G"
-16.9267	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R//G"
-16.796	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.7523	"G/,/,/,/,/,/,/,/,/,/"
-16.7405	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.6917	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.6729	"R//,R//,R//,R//,R//,R//,R//,R//,R//,R//G"
-16.637	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.637	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-16.6195	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-16.6195	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-16.5881	"R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-16.5725	"G,R,R,R,R,R,R,R,R,"
-16.4971	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G/G"
-16.4671	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.4599	"R/R/R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-16.459	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.4437	"R,R,R,R,R,R,R,R,R,/"
-16.4437	"/,G,G,G,G,G,G,G,G,G"
-16.4338	",G,G,G,G,G,G,G,G,R"
-16.3628	",R/,R/,R/,R/,R/,R/,R/,R/,G"
-16.3598	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-16.2973	"R,/R,/R,/R,/R,/R,/R,/R,/R,G"
-16.2963	"R/,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.2949	"R,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.1724	",/G,/G,/G,/G,/G,/G,/G,/G,"
-16.0372	"R/R/R/R/R/R/R/R/R/,R,R,R,R,R,R,R,R,R"
-16.0366	"/////////,G,G,G,G,G,G,G,G,G"
-15.9798	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,G"
-15.9772	"R,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-15.9663	"R,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.9503	"RG,RG,RG,RG,RG,RG,RG,RG,RG,"
-15.9439	"/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-15.8739	"B,/,/,/,/,/,/,/,/,/"
-15.8394	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G"
-15.8222	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-15.8127	"/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.7771	"R,RG,RG,RG,RG,RG,RG,RG,RG,RG"
-15.7632	",,,,,,,,,G"
-15.7568	"R,R,R,R,R,R,R,R,R,/////////"
-15.7392	"R,,,,,,,,,"
-15.7166	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-15.7166	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-15.707	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-15.6815	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-15.6774	"R/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-15.6718	"G,R,R,R,R,R,R,R,R,R"
-15.6718	"G,G,G,G,G,G,G,G,G,R"
-15.6601	"R/R/R/R/R/R/R/R/R/G,,,,,,,,,"
-15.656	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,B"
-15.6342	"R/,/,/,/,/,/,/,/,/,G"
-15.6342	"R,/,/,/,/,/,/,/,/,/G"
-15.6286	"R,/R,/R,/R,/R,/R,/R,/R,/R,/B"
-15.6286	"B/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-15.62	"RG,RG,RG,RG,RG,RG,RG,RG,RG,G"
-15.6186	",,,,,,,,,/G/G/G/G/G/G/G/G/G"
-15.618	"B,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-15.5764	"R/R/R/R/R/R/R/R/R/G,G,G,G,G,G,G,G,G,G"
-15.5547	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-15.5414	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,"
-15.5328	"R,R,R,R,R,R,R,R,R,R/G/G/G/G/G/G/G/G/G"
-15.5251	",R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-15.4327	"/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.4085	"/,R/,R/,R/,R/,R/,R/,R/,R/,R"
-15.4085	"G,/G,/G,/G,/G,/G,/G,/G,/G,/"
