./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=8.0 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=13082 by user binli at Wed Jul 31 19:37:28 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/13082/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-22.7629	"R/,/G,R/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-22.7629	"R/,/G/,/G,R/,/G/,/G/,/G/,/G/,/G/,/G"
-22.7629	"R/,/G/,/G/,/G,R/,/G/,/G/,/G/,/G/,/G"
-22.7629	"R/,/G/,/G/,/G/,/G,R/,/G/,/G/,/G/,/G"
-22.7629	"R/,/G/,/G/,/G/,/G/,/G,R/,/G/,/G/,/G"
-22.7629	"R/,/G/,/G/,/G/,/G/,/G/,/G,R/,/G/,/G"
-22.7629	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G,R/,/G"
-22.7629	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G,R"
-21.5666	"R/R/,/G,R/,/G,/G,R/,/G,R/R/,/G,/G"
-21.5666	"R/R/,/G,/G,R/R/,/G,R/,/G,R/,/G,/G"
-21.5666	"R/R/,/G,/G,R/R/,/G,R/,/G,/G,R/,/G"
-21.5666	"R/,/G,R/,/G,R/R/R/,/G,/G,R/,/G,/G"
-21.5666	"R/,/G,R/R/,/G,R/,/G,R/R/,/G,/G,/G"
-21.5666	"R/,/G,R/R/R/,/G,/G,R/,/G,/G,R/,/G"
-21.5666	"R/,/G,R/R/R/,/G,R/,/G,R/,/G,/G,/G"
-21.5666	"R/,/G,R/,/G,/G,R/,/G,/G,R/,/G"
-21.3766	"R/,/G,R/,/G/,/G/,/G,R/,/G/,/G/,/G"
-21.3766	"R/,/G/,/G/,/G/,/G/,/G/,/G,R/,/G,R"
-21.3766	"R/,/G/,/G/,/G/,/G/,/G,R/,/G/,/G,R"
-21.3766	"R/,/G,R/,/G,R/,/G/,/G/,/G/,/G/,/G"
-21.3766	"R/,/G/,/G/,/G/,/G/,/G,R/,/G,R/,/G"
-21.3766	"R/,/G/,/G/,/G/,/G,R/,/G/,/G/,/G,R"
-21.3766	"R/,/G/,/G/,/G/,/G,R/,/G/,/G,R/,/G"
-21.3766	"R/,/G/,/G/,/G/,/G,R/,/G,R/,/G/,/G"
-21.3766	"R/,/G/,/G/,/G,R/,/G/,/G/,/G/,/G,R"
-21.3766	"R/,/G/,/G/,/G,R/,/G/,/G/,/G,R/,/G"
-21.3766	"R/,/G/,/G/,/G,R/,/G/,/G,R/,/G/,/G"
-21.3766	"R/,/G/,/G/,/G,R/,/G,R/,/G/,/G/,/G"
-21.3766	"R/,/G/,/G,R/,/G/,/G/,/G/,/G/,/G,R"
-21.3766	"R/,/G/,/G,R/,/G/,/G/,/G/,/G,R/,/G"
-21.3766	"R/,/G/,/G,R/,/G/,/G/,/G,R/,/G/,/G"
-21.3766	"R/,/G/,/G,R/,/G/,/G,R/,/G/,/G/,/G"
-21.3766	"R/,/G/,/G,R/,/G,R/,/G/,/G/,/G/,/G"
-21.3766	"R/,/G,R/,/G/,/G,R/,/G/,/G/,/G/,/G"
-21.3766	"R/,/G,R/,/G/,/G/,/G/,/G/,/G/,/G,R"
-21.3766	"R/,/G,R/,/G/,/G/,/G/,/G/,/G,R/,/G"
-21.3766	"R/,/G,R/,/G/,/G/,/G/,/G,R/,/G/,/G"
-20.5857	"R/,/R/G,G/R/G,G/R/G,G/G,R/G,G/G,R/G,G/R/G,G/G"
-20.5857	"R/,/G,R/,/R/G,G/R/G,G/R/G,G/R/G,G/G,R/G,G/G"
-20.5857	"R/,/G,R/,/R/G,G/R/G,G/R/G,G/G,R/G,G/R/G,G/G"
-20.5857	"R/,/G,R/,/R/G,G/R/G,G/G,R/G,G/R/G,G/R/G,G/G"
-20.5857	"R/,/G,R/,/R/G,G/G,R/G,G/R/G,G/R/G,G/R/G,G/G"
-20.5857	"R/,/R/G,G/R/G,G/G,R/G,G/R/G,G/R/G,G/G,R/G,G/G"
-20.5857	"R/,/R/G,G/R/G,G/R/G,G/R/G,G/G,R/G,G/G,R/G,G/G"
