./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=4.0 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=15635 by user binli at Thu Aug  1 00:18:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/15635/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-23.4644	"R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/,/RB,GB/"
-22.7712	"G/RB,GB/G/RB,GB/G/RB,GB/G/RB,GB/G/RB,GB/G/RB,GB/G/RB,GB/,/RB,GB/"
-22.7712	"B/RB,GB/B/RB,GB/B/RB,GB/B/RB,GB/B/RB,GB/B/RB,GB/B/RB,GB/,/RB,GB/"
-21.4004	",/RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB//RB,GB/"
-20.9797	"R/RB,GB/R,R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/,/RB,GB/"
-20.9797	"R/RB,GB/R,R/RB,GB/R,R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/"
-20.9797	"R/RB,GB/R,R/RB,GB/R/RB,GB/R,R/RB,GB/R/RB,GB/R/RB,GB/R/RB,GB/"
