./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.72 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16899 by user binli at Thu Aug  1 03:19:01 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16899/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.6219	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/R"
-17.589	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/R"
-17.589	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R"
-16.9831	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-16.9488	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/G"
-16.9488	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/B"
-16.9417	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.9312	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.8669	"R/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.8669	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.707	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-16.707	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-16.6482	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.6417	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-16.413	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-16.413	"/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.3571	"G,G,G,G,G,G,G,G,G,R"
-16.3094	"B,B,B,B,B,B,B,B,B,G/R"
-16.3094	"B,B,B,B,B,B,B,B,B,G/B"
-16.3012	"B,B,RB,RB,RB,RB,RB,RB,RB,B"
-16.3012	"B,B,RB,RB,RB,RB,RB,RB,RB,G"
-16.2905	"/B,G,G,G,G,G,G,G,G,G"
-16.2784	"B,B,B,B,B,B,B,B,B,B////////"
-16.2778	"/R,G,G,G,G,G,G,G,G,G"
-16.2624	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-16.2522	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
