./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.82 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=16475 by user binli at Thu Aug  1 02:18:59 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/16475/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.5994	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB"
-17.5815	"B/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-17.5785	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB"
-17.5652	"R/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-17.5652	"R/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-17.506	"B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-17.4737	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.2988	"/,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B"
-17.2283	"/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/RB,/"
-17.1216	"/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/R"
-16.9139	"/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B/R,GB/B"
-16.9079	"B,R,R,R,R,R,R,R,R,"
-16.9068	"RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/,"
-16.9068	"GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/,"
-16.8838	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.8832	"R,R,R,R,R,R,R,R,R,B/"
-16.881	"/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,G"
-16.8789	",B,B,B,B,B,B,B,B,B/R"
-16.871	"/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-16.8654	"//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B/"
-16.8654	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-16.7805	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.7665	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-16.7588	"B,/B,/B,/B,/B,/B,/B,/B,/B,R"
-16.7248	"B,B/,B/,B/,B/,B/,B/,B/,B/,B"
-16.6765	"/R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B//R,B"
-16.6418	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.6089	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//"
