./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.7 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=5877 by user binli at Wed Jul 31 04:14:30 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/5877/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.132	"R/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-17.0834	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.0564	"R/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-17.0564	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-17.0273	"R,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,"
-17.0122	"/RB,GB,GB,GB,GB,GB,GB,GB,GB,G"
-16.9519	"B,B,B,B,B,B,B,B,B,GB"
-16.8998	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-16.8998	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-16.8061	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.6023	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-16.6023	"/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.5218	"RB,GB,GB,GB,GB,GB,GB,GB,GB,B"
-16.4599	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.4421	"B,B,B,B,B,B,B,B,B,B////////"
-16.4397	"/B,G,G,G,G,G,G,G,G,G"
-16.4268	"/R,G,G,G,G,G,G,G,G,G"
-16.4044	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-16.4004	"////////B,B,B,B,B,B,B,B,B,B"
-16.3847	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-16.3847	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-16.371	"B,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.3653	"G,G,G,G,G,G,G,G,G,R"
-16.3446	"B,B,B,B,B,B,B,B,B,G////////"
-16.3375	"B,B,B,B,B,B,B,B,B,B/G"
-16.3095	"////////,B,B,B,B,B,B,B,B,B"
-16.2702	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.2491	"RB,B,B,B,B,B,B,B,B,B"
-16.2196	",GB,GB,GB,GB,GB,GB,GB,GB,B"
-16.203	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-16.203	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-16.1211	"/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.1193	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/R"
