./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.9 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=6466 by user binli at Wed Jul 31 06:34:39 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/6466/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.7359	"/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-17.7251	"R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/,/R/"
-17.6652	"G/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-17.5172	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.4946	"//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-17.4939	"G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,//R"
-17.4717	"G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R"
-17.4426	"GR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-17.4205	"G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-17.2908	"GR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-17.0664	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-17.0622	"G/R,//R,//R,//R,//R,//R,//R,//R,//R,//R"
-17.0493	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/"
-17.044	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-17.0357	"G,G,G,G,G,G,G,G,G,G/R/R/R/R/R/R/R/R/R/R"
-17.032	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R"
-17.0295	"/,/R,/R,/R,/R,/R,/R,/R,/R,"
-17.017	"G/G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-16.9663	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RB"
