./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.8 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=5793 by user binli at Wed Jul 31 03:54:29 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/5793/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.7163	"G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-17.6022	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-17.4603	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/B"
-17.4546	"/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-17.4353	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-17.4039	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/G"
-17.2974	"/B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B"
-17.11	"/R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//"
-17.0243	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-17.0231	"B/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-16.9937	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,"
