./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.8 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=6649 by user binli at Wed Jul 31 06:54:40 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/6649/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.646	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRR"
-17.2598	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-17.2462	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/G"
-17.2373	"R/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.2373	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-17.1944	"G/G/G/G/G/G/G/G/G/G/R,R,R,R,R,R,R,R,R,"
-17.0991	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.0385	"G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-17.0316	",G/,G/,G/,G/,G/,G/,G/,G/,R"
-17.0234	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-16.9855	"/,/,/,/,/,/,/,/,/,/B"
-16.9576	"G/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/R"
-16.9576	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-16.9509	"B/,/,/,/,/,/,/,/,/,/"
-16.9321	"G/,/,/,/,/,/,/,/,/,/R"
