./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.6 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=6853 by user binli at Wed Jul 31 07:34:41 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/6853/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-18.0032	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.8474	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-17.6819	"G/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.467	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-17.4276	"B,B,B,B,B,B,B,B,B,R"
-17.415	"G,B,B,B,B,B,B,B,B,B"
-17.3824	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-17.3532	"G,/,/,/,/,/,/,/,/,"
-17.3274	",B,B,B,B,B,B,B,B,R"
-17.3115	"G,B,B,B,B,B,B,B,B,"
-17.3031	"G/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-17.3028	"/,/,/,/,/,/,/,/,/,/R"
-17.1917	",R,R,R,R,R,R,R,R,B"
-17.1801	"G,/R,/R,/R,/R,/R,/R,/R,/R,"
-17.1736	"G,R/,R/,R/,R/,R/,R/,R/,R/,R"
-17.1495	"G,G,G,G,G,G,G,G,G,/R"
-17.086	"G/,/,/,/,/,/,/,/,/,/"
-17.0841	"/,/,/,/,/,/,/,/,/,/"
-17.0766	",,,,,,,,,G"
-17.0766	"R,,,,,,,,,"
-17.0672	"B,R,R,R,R,R,R,R,R,"
-16.9679	",/,/,/,/,/,/,/,/,R"
-16.9492	"R,G,G,G,G,G,G,G,G,"
-16.8488	"G/,R,R,R,R,R,R,R,R,R"
-16.7725	",/,/,/,/,/,/,/,/,/B"
-16.7725	"B/,/,/,/,/,/,/,/,/,"
-16.7625	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/,R"
-16.5664	"R,/R,/R,/R,/R,/R,/R,/R,/R,/"
-16.5664	"R/,R/,R/,R/,R/,R/,R/,R/,R/,"
-16.5566	"R/,/,/,/,/,/,/,/,/,"
-16.5566	",/,/,/,/,/,/,/,/,/G"
-16.5382	"G/,G/,G/,G/,G/,G/,G/,G/,G/,B"
-16.5334	"B/,R/,R/,R/,R/,R/,R/,R/,R/,R"
