./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.7 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=6766 by user binli at Wed Jul 31 07:14:41 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/6766/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.679	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-17.5749	"/,/,/,/,/,/,/,/,/,/G"
-17.5497	"R/,/,/,/,/,/,/,/,/,/"
-17.351	"/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.2788	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/"
-17.0144	"/R,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.9528	"G,/G,/G,/G,/G,/G,/G,/G,/G,R"
-16.9261	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.8435	"G,G,G,G,G,G,G,G,G,/R/R/R/R/R/R/R/R/R/R"
-16.8409	",R/,R/,R/,R/,R/,R/,R/,R/,R"
-16.8304	",R,R,R,R,R,R,R,R,B"
-16.8287	"G,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-16.8257	"G/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.8141	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.7153	"/,R,R,R,R,R,R,R,R,R"
-16.6563	"B,R,R,R,R,R,R,R,R,"
-16.6272	"R,G,G,G,G,G,G,G,G,"
-16.5925	"G/G/G/G/G/G/G/G/G/G/,R,R,R,R,R,R,R,R,R"
-16.5418	",/R,/R,/R,/R,/R,/R,/R,/R,"
-16.5024	"G/,/,/,/,/,/,/,/,/,R"
