./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.8 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=5096 by user binli at Wed Jul 31 00:54:18 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/5096/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.4903	"/,/,/,/,/,/,/,/,/,/B"
-17.3574	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-17.3465	"B/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.3465	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/B"
-17.329	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-17.306	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.2803	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-17.2662	"R/,/,/,/,/,/,/,/,/,/G"
-17.264	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-17.2407	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-17.2374	"G/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.2374	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-17.2001	"/,/,/,/,/,/,/,/,/,/R"
-17.1993	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-17.1712	"B/,/,/,/,/,/,/,/,/,/"
-16.9371	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.9008	"G/,/,/,/,/,/,/,/,/,/"
-16.8815	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.8443	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.8129	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.8129	"R/,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/B,R/G"
-16.7948	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-16.7948	"R/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,B/G,/G"
-16.6348	"R,R,R,R,R,R,R,R,R,/G/G/G/G/G/G/G/G/G/G"
-16.5976	"R/R/R/R/R/R/R/R/R/R/,G,G,G,G,G,G,G,G,G"
-16.5804	"G,/G,/G,/G,/G,/G,/G,/G,/G,"
-16.5757	"G,R,R,R,R,R,R,R,R,"
-16.5669	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.542	"/,G,G,G,G,G,G,G,G,G"
-16.542	"R,R,R,R,R,R,R,R,R,/"
-16.5129	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,"
-16.5089	",R/,R/,R/,R/,R/,R/,R/,R/,G"
-16.4391	",G,G,G,G,G,G,G,G,R"
-16.4268	"R,/R,/R,/R,/R,/R,/R,/R,/R,G"
-16.4243	"R,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.3092	",/G,/G,/G,/G,/G,/G,/G,/G,"
