./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=0.9 --threads=12 --top=10000 --time=20m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=5037 by user binli at Wed Jul 31 00:34:18 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 65f9670c8a5c502caf7ddd64b5a452b3  /proc/5037/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-17.7259	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R//G"
-17.1859	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R//G"
-17.177	"R//G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.1571	"R/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/"
-17.0911	"R/R/R/R/R/R/R/R/R/R/G,,,,,,,,,"
-17.0327	"R//G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.0327	"R,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.0296	"R,R,R,R,R,R,R,R,R,R/G"
-16.8721	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-16.853	"/,/,/,/,/,/,/,/,/,/B"
-16.8265	"R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/"
-16.74	"B/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.74	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/B"
-16.6554	"G/G,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.6554	"R/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-16.6109	"/,/,/,/,/,/,/,/,/,/R"
-16.5357	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.5345	",G,G,G,G,G,G,G,G,R"
-16.4966	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B"
-16.4879	"G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.4874	"B/,/,/,/,/,/,/,/,/,/"
-16.4517	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-16.4517	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-16.4492	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R"
-16.3955	"R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//"
-16.3731	"G,R,R,R,R,R,R,R,R,R"
-16.3731	"G,G,G,G,G,G,G,G,G,R"
-16.356	"/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.3396	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,G"
-16.3262	"R/G,G,G,G,G,G,G,G,G,G"
-16.3013	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.2647	"G/,/,/,/,/,/,/,/,/,/"
-16.2405	"R,/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,G"
-16.2402	"R,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/,G"
-16.1991	"R/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-16.1891	"R,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.1677	"/,G,G,G,G,G,G,G,G,G"
