./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=1.2 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19705 by user binli at 2020-04-02 12:31:13
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/19705/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.200000
-23.9213	"G/,G/R,G/R,G/RR,G/RR,G/RR,G/R,G/R,G/R,G/RR"
-23.9213	"G/,G/R,G/RR,G/RR,G/RR,G/RR,G/R,G/RR,G/RR,G/RR"
-23.9213	"G/,G/RR,G/RR,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R/R/R/R,G/R/R/R,G/R/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R/R/R,G/R/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R/R/R/R,G/R/R/R,G/R/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R/R/R/R/R,G/R/R/R/R,G/R/R/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,/R/R/R/R,/R/R/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,/R/R/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R/R/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R,G/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R,G/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R,G/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R,G/R,G/R/R/R/R,G/R/R/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,/R/R/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,G/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,G/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R/R/R,G/R/R,G/R,G/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R/R,G/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R,G/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R,G/R,G/R,/R,"
-22.0898	"G/R,G/R,G/R,G/R/R,G/R,G/R,G/R,G/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R,G/R,G/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R,G/R,G/R/R,G/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R/R,G/R/R,G/R,/R,"
-22.0898	"G/R,G/R,G/R,G/R/R,G/R,G/R,G/R,/R/R,/R,"
-22.0898	"G/R/R,G/R/R,G/R,G/R,G/R,G/R/R/R,G/R/R,G/R,G/R,"
