./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=1.4 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19784 by user binli at 2020-04-02 12:51:16
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/19784/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.400000
-24.5551	"G/,G/RR,G/RR,G/,G/,G/,G/,G/,G/,G/RR"
-24.5143	"G/,G/R,G/R,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-20.1334	"G/,G/R,G/R,G/R,G/R,G/R,G/R/R/R/R,G/R,G/R/R,G/R/R/"
-20.1334	"G/,G/R,G/R,G/R,G/R/R,G/R,G/R/R/R,G/R,G/R/R/R/,G/R/"
-19.8477	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-18.5053	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RRRRRRRRRRRRRRRRRR"
-18.4934	"R/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G//R"
-18.4487	",G//R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/RR"
-18.4443	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R/R/R/R/R/R/R/R/R/R/"
-18.4406	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R/R/R/R/R/R/R/R/R/"
-18.4261	"//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-18.3574	"/,/R,/R,/R,/R,/R,/R,/R,/R,/RRRRRRRRRR"
-18.2525	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G//"
-18.2356	"/,G/R/RR,G/R/RR,G/R/RR,G/R/RR,G/R/RR,G/R/RR,G/R/RR,G/R/RR,G/R/RR"
-18.2285	"G/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,//R"
-18.2245	"/,/RR,G/G/RR,G///RR,G///RR,G/R/RR,G/R/RR,G/,/RR,G/G/RR"
-18.2047	"G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R/R"
-18.18	"R//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-18.1779	"G//RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-18.1701	"G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RB"
-18.1697	"G,/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RR"
-18.1619	"G/R/RR,/R/RR,/R/RR,/R/RR,/R/RR,/R/RR,/R/RR,/R/RR,/R/RR,//RR"
-18.1617	"G//RR,R//RR,R//RR,R//RR,R//RR,R//RR,R//RR,R//RR,R//RR,//RR"
-18.1448	"G/,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RR"
-18.1273	"G/,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-18.1169	"G/G/RR,/G/RR,/G/RR,/G/RR,/G/RR,/G/RR,/G/RR,/G/RR,/G/RR,//RR"
-18.0771	"G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,/"
-18.0538	"G/,G/R,G/R,G/R/R,G/R,G/R/R/,G/R,G/R,G/R/R/,G/R/"
-18.0538	"G/,G/R,G/R,G/R,G/R/R/R/R,G/R/,G/R,G/R,G/R,G/R/R/R/R/"
-18.0538	"G/,G/R,G/R,G/R,G/R/R,G/R/R,G/R,G/R,G/R/R/R,G/R/R/"
-18.0538	"G/,G/R,G/R,G/R,G/R,G/R/R,G/R/R/,G/R,G/R/,G/R/"
-18.0538	"G/,G/R,G/R,G/R,G/R,G/R/R,G/R,G/R/R,G/R/R/,G/R/"
-18.0266	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR/R/R/R/R/R/R/R/R/"
-17.9431	"//,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR/,/RR"
-17.8979	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-17.872	"G/RR,G/G/RR,G/G/RR,G/G/RR,G/G/RR,G/G/RR,G/G/RR,G/G/RR,G/G/RR,//RR"
-17.8053	"R,/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR"
-17.7973	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/R/RRRRRRRRR"
-17.7833	"G//R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/R,G/B/B"
-17.7815	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-17.7688	"G/,/R/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR"
-17.7674	"G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR/G/,/RR//,/RR"
-17.7673	"R,//R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R"
-17.7578	"G/B/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-17.7554	"G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,G/G/R,//R"
