./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=1.5 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19882 by user binli at 2020-04-02 01:11:19
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/19882/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.500000
-24.3003	"G/,G/RR,G/RR,G/RRR,G/RRRR,G/RRRRR,G/RRRRRR,G/RR,G/RRR,G/RRRR"
-24.3003	"G/,G/RR,G/RR,G/RR,G/RRR,G/RRRR,G/RRRRR,G/RR,G/RR,G/RR"
-24.2088	"G/,G/RR,G/RR,G/R,G/R,G/R,G/RR,G/RR,G/RR,G/RR"
-24.2088	"G/,G/RR,G/R,G/R,G/R,G/R,G/RR,G/R,G/R,G/RR"
-19.2028	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R//R"
-18.5515	"G//,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/RRRRRRRRR"
-18.4859	"G/,/G/RR,R/G/RR,R/G/RR,R/G/RR,R/G/RR,R/G/RR,R/G/RR,R/G/RR,R/G/RR"
-18.4463	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B/R"
-18.4437	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G/R"
