./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.7 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18478 by user binli at 2020-04-02 08:50:52
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/18478/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 0.700000
-17.1353	"GB,GB,GB,GB,GB,GB,GB,GB,GB,B"
-16.942	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-16.9265	"RB,GB,GB,GB,GB,GB,GB,GB,GB,B"
-16.8546	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.8546	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.8285	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-16.6114	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-16.6114	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-16.487	"G,G,G,G,G,G,G,G,G,B"
-16.4754	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B"
-16.4656	"R/R,B,B,B,B,B,B,B,B,B"
-16.4623	",B,BB,BB,BB,BB,BB,BB,BB,B"
-16.4062	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-16.3614	",B,B,B,B,B,B,B,B,G/B"
-16.3579	"B,GB,GB,GB,GB,GB,GB,GB,G,G"
-16.35	"B,B,RB,RB,RB,RB,RB,RB,RB,R"
-16.3296	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-16.3214	"R,RB,RB,RB,RB,RB,RB,RB,RB,"
-16.3207	",B,B,B,B,B,B,B,B,GB"
-16.3184	",B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-16.3123	"B/B,B,B,B,B,B,B,B,B,B"
-16.3036	"R,R,R,R,R,R,R,R,R,R"
-16.3031	"RB,B,B,B,B,B,B,B,B,"
-16.285	"B,R,R,R,R,R,R,R,R,"
-16.2574	",G,G,G,G,G,G,G,G,B"
-16.2558	",B,B,B,B,B,B,B,B,BB"
-16.2558	"BB,B,B,B,B,B,B,B,B,"
-16.1715	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.1715	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.1019	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.0963	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-16.0963	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-16.0458	"R,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,"
-16.0325	"RB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.0292	"RB,RB,RB,RB,RB,RB,RB,RB,RB,R"
-15.9973	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B"
-15.9973	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-15.9973	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-15.9973	"/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-15.9312	",GB,GB,GB,GB,GB,GB,GB,GB,B"
-15.9198	"/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B"
-15.9198	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/G"
-15.9198	"/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R"
-15.9198	"/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-15.8263	"B/B,B,B,B,B,B,B,B,B,"
-15.7965	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G"
-15.7513	"RB,BB,BB,BB,BB,BB,BB,BB,B,"
-15.7415	"GB,GB,GB,GB,GB,GB,GB,GB,GB,G"
-15.7415	"BB,GB,GB,GB,GB,GB,GB,GB,GB,G"
-15.74	",B,BB,BB,BB,BB,BB,BB,BB,BB"
-15.74	"BB,BB,BB,BB,BB,BB,BB,BB,B,"
-15.7348	"B,B,GB,GB,GB,GB,GB,GB,GB,G"
-15.7255	"B,B,GB,GB,GB,GB,GB,GB,GB,GB"
-15.7185	"BB,GB,GB,GB,GB,GB,GB,GB,G,G"
-15.7092	"B,B,B,B,B,B,B,B,B,G/G/G/G/G/G/G/G/"
-15.709	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,B"
-15.709	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,"
-15.709	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,"
-15.709	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/,G"
-15.7079	"B,BB,BB,BB,BB,BB,BB,BB,BB,"
-15.6913	",R,R,R,R,R,R,R,R,R"
-15.6747	"B,B,B,B,B,B,B,B,B,G/G/G/G/G/G/G/G/G/"
-15.6738	"B,B,B,B,B,B,B,B,B,G/G"
-15.6705	"B/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/,G"
-15.6705	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,"
-15.6705	"R/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/,B"
-15.6554	",R,R,R,R,R,R,R,R,B"
-15.6554	",R,R,R,R,R,R,R,R,G"
-15.6471	"B,RB,RB,RB,RB,RB,RB,RB,RB,R"
-15.6471	"G,GB,GB,GB,GB,GB,GB,GB,GB,B"
-15.6312	"/R/R/R/R/R/R/R/R,B,B,B,B,B,B,B,B,B"
-15.6257	"R,GB,GB,GB,GB,GB,GB,GB,GB,G"
-15.6257	"R,GB,GB,GB,GB,GB,GB,GB,GB,B"
-15.619	"G,G,G,G,G,G,G,G,G,G"
-15.6094	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/B"
-15.6088	"G,G,G,G,G,G,G,G,G,"
-15.5577	"/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,B"
-15.5491	"R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-15.5491	"R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-15.5491	"R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B"
-15.5491	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B"
-15.5491	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/G"
-15.5491	"B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
-15.5383	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B"
-15.5383	"R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R"
-15.5383	"R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/G"
-15.5383	"R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/B"
-15.5383	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/G"
-15.5383	"B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
-15.4971	"B,B,B,B,B,B,B,B,B,B/B"
-15.4939	",BB,BB,BB,BB,BB,BB,BB,BB,B"
-15.4762	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/"
-15.4724	"B,B,GB,GB,GB,GB,GB,GB,GB,GG"
-15.4484	"R,G,G,G,G,G,G,G,G,"
-15.4484	"B,G,G,G,G,G,G,G,G,"
-15.4378	"RB,GB,GB,GB,GB,GB,GB,GB,G,G"
-15.4228	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-15.3989	"R,/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-15.3989	",B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B"
-15.3989	",G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-15.3837	"/B/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-15.3639	"R,/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/B"
-15.3639	",B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R"
-15.3639	",G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B"
-15.3524	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,"
-15.2767	"/R/R/R/R/R/R/R/R/R,B,B,B,B,B,B,B,B,B"
-15.2291	",B,B,B,B,B,B,B,B,R"
-15.2146	"/B,/B,/B,/B,/B,/B,/B,/B,/B,B"
-15.2146	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G"
-15.2064	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G"
-15.1822	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,"
-15.1822	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/,"
