./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=0.9 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19492 by user binli at 2020-04-02 11:51:11
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/19492/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 0.900000
-19.0098	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.5325	"G/,/R,G/,/R,G/,/R,G/,/R,G/,/R/R/R/R/R"
-17.4426	"G/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-17.2637	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-17.22	"GR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,/RR"
-17.0129	"GR,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-17.0063	"G,GR,GR,GR,GR,GR,GR,GR,GR,GR"
-17.005	"G/,/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R,R/G/R"
-16.984	",R,R,R,R,R,R,R,R,G/R/R/R/R/R/R/R/R/R/"
-16.9783	"G/,/,/,/,/,/,/,/,/,R"
-16.9724	"G/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,R"
-16.972	"G/R,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,"
-16.9679	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B"
-16.9218	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-16.86	"R,/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-16.7437	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RB"
-16.7325	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RG"
-16.7099	"G/,R/,R/,R/,R/,R/,R/,R/,R/,/"
-16.6501	"G,G,G,G,G,G,G,G,G,/R"
-16.6267	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RRRRRRRRRR"
-16.6143	"G/,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/R"
