./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=1.0 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18105 by user binli at 2020-04-02 07:30:42
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/18105/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.000000
-17.5218	"R/R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-17.4932	"B/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-17.3895	"R/,/,/,/,/,/,/,/,/,/G"
-17.244	"R/R/,R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-16.9871	"RRRRRRRRR/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.9135	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-16.8658	"/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-16.8572	"G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/G"
-16.8572	"R/,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R"
-16.8248	"R/,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-16.7781	"R/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,/"
-16.7308	"R/,/R,/R,/R,/R,/R,/R,/R,/R,/G"
-16.7116	"R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G"
-16.6876	"G/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-16.6374	"RR/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.552	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/"
-16.5243	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R//G"
-16.5243	"R//G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.4776	"B/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R//G"
-16.4552	"G/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//G"
-16.4314	"R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,/B/G"
-16.4144	"R,RG,RG,RG,RG,RG,RG,RG,RG,RG"
-16.4094	"//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-16.387	"R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,/R/G"
-16.3862	"R/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,B/B/G,//G"
-16.3371	"R/R/,R/,R/,R/,R/,R/,R/,R/,R/,G"
-16.3287	"R/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,G/G/G,//G"
-16.3278	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R//"
-16.3065	"R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,/G/G"
-16.2995	"R/B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.2995	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/B/G"
-16.2992	"R/,/G,R/,/G,R/,/G,R/,/G,R/,/G/G/G/G/G"
-16.2929	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G/G/G/G/G/G/G/G/G/"
-16.2767	"R/G/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.2767	"R/,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/R/G"
-16.2756	"RG,RG,RG,RG,RG,RG,RG,RG,RG,G"
-16.1935	"G,/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,G"
-16.1935	"R,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/,R"
-16.1862	"R,R,R,R,R,R,R,R,R,R/G"
-16.1792	",G,G,G,G,G,G,G,G,G/G"
-16.1782	"R/G,G,G,G,G,G,G,G,G,G"
-16.1767	"B/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-16.1743	"R//G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/B"
-16.1645	"R,R,R,R,R,R,R,R,R,/G"
-16.1519	"R//G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/R"
-16.1487	"R/,G,G,G,G,G,G,G,G,G"
