./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --param=1.0 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19614 by user binli at 2020-04-02 12:11:11
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/19614/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.000000
-17.6253	",/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-17.6216	"G/G/,G/,G/,G/,G/,G/,G/,G/,G/,G/R"
-17.6055	",G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR"
-17.5901	"/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/R"
-17.5128	"R/,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR,R/RR"
-17.4536	"G/,RR,RR,RR,RR,RR,RR,RR,RR,RR"
-17.4474	"G,/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RG,R/RR"
-17.445	"G/,/R,/R,/R,/R,/R,/R,/R,/R,/RRRRRRRRR"
-17.3995	"G/,/R,/R,/R,/R,/R,/R,/R,/R,/RRRRRRRRRR"
-17.3397	"/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.336	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RR"
-17.2759	"G/,R/,R/,R/,R/,R/,R/,R/,R/,R/R"
-17.2171	"G/,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/R"
-17.1998	"G/B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.1974	"G,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RG,/RR"
-17.1974	"G/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RG/,RR"
-17.1776	"G/R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-17.1776	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G/R"
-16.9517	"R/,/R,/R,/R,/R,/R,/R,/R,/R,/R"
-16.9251	"G/,/R,/R,/R,/R,/R,/R,/R,/R,/R/R/R/R/R/R/R/"
-16.9215	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/RRRRRRRRRR"
-16.9198	"G/G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,"
-16.9012	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R/R"
-16.8782	"G/,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-16.8692	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RRRRRRRRRRR"
-16.8529	"G,/,G/,G/,G/,G/,G/,G/,G/,G/R"
-16.8455	"G/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,/R"
-16.8455	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,/R"
-16.809	"R/,/R,/R,/R,/R,/R,/R,/R,/R,"
-16.7876	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.774	",//RR,R/R/RR,R/R/RR,R/R/RR,R/R/RR,R/R/RR,R/R/RR,R/R/RR,R/R/RR"
-16.753	",R,R,R,R,R,R,R,R,G/R/R/R/R/R/R/R/R/R/"
-16.7076	"G/,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RG/R,RR"
-16.6919	"G,GR,GR,GR,GR,GR,GR,GR,GR,GR"
-16.6844	"G/,/R,/R,/R,/R,/R,/R,/R,/R,/R/R"
-16.6722	"G/,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RR,G/RRRRRRRRR"
-16.6617	"G/,GR/R,GR/R,GR/R,GR/R,GR/R,GR/R,GR/R,GR/R,GR/R"
-16.6613	"G//,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-16.6613	"G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,//R"
-16.6302	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-16.6177	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/BRRRRRRRRR"
-16.6085	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/GRRRRRRRRR"
-16.5961	"R/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,/R"
-16.5597	"G/,/,/,/,/,/,/,/,/,/R"
-16.5403	"/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-16.5377	"G/,G/,G/,G/,G/,G/,G/,G/,G/,RR"
-16.5329	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B"
-16.5074	"G/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,R/R/R,//R"
-16.5066	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/B/R"
-16.4997	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/G"
-16.4524	"G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,/R/R"
-16.4368	"G/,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G//R"
-16.4353	"G/,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R"
-16.4152	"G//,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R/R,G/R"
