./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --param=0.8 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18578 by user binli at 2020-04-02 09:10:52
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/18578/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 0.800000
-17.5804	"B/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/B,GB/"
-17.5524	"R/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/"
-17.4385	"/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/RB,GB/B"
-17.1256	"/B,/B,/B,/B,/B,/B,/B,/B,/B,G/B"
-16.9862	"/R/,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/R/B,B/B"
-16.8873	"R/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/"
-16.8619	"/,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-16.8593	"R/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/R,GB/"
-16.8432	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.8432	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/"
-16.8398	"B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,/B"
-16.8002	"//,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B"
-16.6974	"BB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-16.6484	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,B"
-16.6243	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,/B"
-16.6006	",B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/B/B/"
-16.5904	"/,B/,B/,B/,B/,B/,B/,B/,B/,B/B"
-16.5602	"B,B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B/B/"
-16.54	"R,RB,RB,RB,RB,RB,RB,RB,RB,RB"
-16.5083	"B,B,RB,RB,RB,RB,RB,RB,RB,G"
-16.4755	"B/B,/B,/B,/B,/B,/B,/B,/B,/B,/"
-16.4467	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/B,G"
-16.1939	"B,B,B,B,B,B,B,B,B,G/B/B/B/B/B/B/B/"
-16.1833	"RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/,"
-16.1833	"GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/GB,GB/,"
-16.1832	",B,B,B,B,B,B,B,B,BBBBBBBB"
-16.1752	",B,B,B,B,B,B,B,B,B/B/B/B/B/B/B/B/B"
-16.1724	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-16.1693	"BB,B,B,B,B,B,B,B,B,B"
-16.1689	"R,R,R,R,R,R,R,R,R,R"
-16.1646	",/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,G"
-16.1423	"B,B,B,B,B,B,B,B,B,BB"
-16.1322	"B,R,R,R,R,R,R,R,R,"
-16.1253	"B/B/B/B/B/B/B/B/,B,B,B,B,B,B,B,B,B"
-16.1109	"B,B,GB,GB,GB,GB,GB,GB,GB,B"
-16.1023	"/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/RB,RB/,"
-16.0998	",G,G,G,G,G,G,G,G,B"
-16.0968	"/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-16.0791	"B,B,B,B,B,B,B,B,B,G/R"
-16.0791	"B,B,B,B,B,B,B,B,B,G/B"
-16.0678	"/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/RB,G/G"
-16.059	"B,BB,BB,BB,BB,BB,BB,BB,B,"
-16.0396	"B,B,B,B,B,B,B,B,B,B/R"
-16.0165	"B,B,B,B,B,B,B,B,B,/B/B/B/B/B/B/B/B/B/B"
-16.0162	"R/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.0162	"G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.0162	"G/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/"
-16.0162	"B/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/"
-16.0132	"G,G,G,G,G,G,G,G,G,G"
-16.0043	"RB,RB,RB,RB,RB,RB,RB,RB,RB,RB"
-16.0043	"GB,GB,GB,GB,GB,GB,GB,GB,GB,GB"
-15.9967	"B,/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-15.9742	"/B,/B,/B,/B,/B,/B,/B,/B,/B,/B"
-15.9533	"G/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-15.9533	"G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-15.9533	"R/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G/"
-15.9533	"B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/R,B/"
-15.9406	"/R,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/RB,B/B"
-15.9076	"B,B,B,B,B,B,B,B,B,B/G"
-15.9042	"G,GB,GB,GB,GB,GB,GB,GB,GB,"
-15.9041	",/B,/B,/B,/B,/B,/B,/B,/B,B"
-15.8876	"//B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B/B,B/B"
-15.8856	"/B,/B,//B,//B,//B,//B,//B,//B,//B,/"
-15.8446	",B,B,B,B,B,B,B,B,B/"
-15.8404	"/B,B,B,B,B,B,B,B,B,"
-15.8151	"B,B,RB,RB,RB,RB,RB,RB,RB,B"
-15.8069	",B,BB,BB,BB,BB,BB,BB,BB,B"
-15.7846	"B,/B,G/B,G/B,G/B,G/B,G/B,G/B,G/B,G"
-15.7748	",B,B,B,B,B,B,B,B,B/R"
-15.7748	",B,B,B,B,B,B,B,B,B/G"
-15.774	"/B,/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B"
-15.7719	"/B/B/B/B/B/B/B/R,B,B,B,B,B,B,B,B,"
-15.7114	"R/R,B,B,B,B,B,B,B,B,B"
-15.6767	"//B,//B,//B,//B,//B,//B,//B,//B,/B,"
-15.6654	",R,R,R,R,R,R,R,R,R"
-15.6579	"GB,GB,GB,GB,GB,GB,GB,GB,GB,R"
-15.6489	"/B/B/B/B/B/B/B/B/B/B,B,B,B,B,B,B,B,B,"
-15.6412	"/,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/B,B/R"
