./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --param=1.2 --threads=12 --top=10000 --time=30m
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=18190 by user binli at 2020-04-02 07:50:43
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 12e9a29c5a924988e5b9ecdf5508f6c9  /proc/18190/exe
# 	 --input=input.txt
# 	 --threads=12
# 	 --chains=1
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=20m (1200000 ms)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Edit Distance Paramter: 1.200000
-23.2354	"R/,R/,R/,R/G,R/G,R/G,R/G,R/G,R/G,G"
-23.2354	"R/,R/G,R/,R/,R/,R/,R/G,R/G,R/G,G"
-23.2353	"R/,R/G,R/G,R/,R/G,R/,R/G,R/,R/,G"
-23.2353	"R/,R/G,R/G,R/,R/,R/,R/G,R/G,R/G,G"
-23.2353	"R/,R/G,R/,R/,R/,R/,R/G,R/,R/,G"
-22.543	"R/,R/,R/G,R/G,R/G,R/G,R/,R/,R/,G"
-22.543	"R/,R/G,R/G,R/,R/,R/,R/,R/,R/,G"
-22.5425	"R/,R/,R/,R/G,R/,R/G,R/,R/G,R/G,G"
-22.5425	"R/,R/,R/G,R/G,R/G,R/G,R/,R/G,R/G,G"
-22.5425	"R/,R/,R/,R/G,R/G,R/G,R/,R/,R/,G"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G/G/G,R/G/G,R/G,/G,"
-21.5359	"R/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,R/G,R/G,"
-21.5359	"R/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,R/G,/G,"
-21.5359	"R/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,R/G/G,R/G,"
-21.5359	"R/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G,R/G/G/G,R/G/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G/G,R/G,R/G/G,R/G,/G/G,/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G,R/G/G/G/G,R/G/G/G,R/G/G,R/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G,R/G,R/G/G/G,R/G/G,R/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G,R/G/G,R/G,R/G/G,R/G,/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G,R/G/G,R/G,R/G/G,R/G,R/G,"
-21.5359	"R/G/G,R/G/G,R/G,R/G,R/G/G,R/G,R/G/G/G,R/G/G,R/G,"
